partido,votos_proyectados,pct_votos_validos
FUERZA POPULAR,2702014,17.169
RENOVACIÓN POPULAR,1956041,12.429
PARTIDO DEL BUEN GOBIERNO,1811321,11.509
JUNTOS POR EL PERÚ,1669604,10.609
PARTIDO CÍVICO OBRAS,1575764,10.013
PARTIDO PAÍS PARA TODOS,1281902,8.145
AHORA NACIÓN - AN,1176549,7.476
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",564500,3.587
PARTIDO SICREO,552865,3.513
PARTIDO FRENTE DE LA ESPERANZA 2021,295642,1.879
PODEMOS PERÚ,237124,1.507
PARTIDO POLÍTICO COOPERACIÓN POPULAR,202056,1.284
ALIANZA PARA EL PROGRESO,173065,1.1
PARTIDO APRISTA PERUANO,152056,0.966
PARTIDO DEMOCRÁTICO SOMOS PERÚ,140969,0.896
PARTIDO POLÍTICO PERÚ PRIMERO,134306,0.853
PARTIDO PATRIÓTICO DEL PERÚ,134178,0.853
ALIANZA ELECTORAL VENCEREMOS,123795,0.787
UN CAMINO DIFERENTE,119538,0.76
PARTIDO DEMÓCRATA UNIDO PERÚ,106847,0.679
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,89929,0.571
PARTIDO MORADO,79377,0.504
UNIDAD NACIONAL,65828,0.418
PROGRESEMOS,61711,0.392
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,61707,0.392
PARTIDO DEMÓCRATA VERDE,57678,0.366
LIBERTAD POPULAR,37756,0.24
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,30740,0.195
PARTIDO POLÍTICO PERÚ ACCIÓN,28975,0.184
FUERZA Y LIBERTAD,25514,0.162
FE EN EL PERÚ,20985,0.133
PARTIDO DEMOCRATICO FEDERAL,20034,0.127
SALVEMOS AL PERÚ,15148,0.096
PARTIDO POLÍTICO PRIN,13118,0.083
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,10546,0.067
PERÚ MODERNO,8755,0.056

VOTOS EN BLANCO,2083018,
VOTOS NULOS,910409,

TOTAL VOTOS VÁLIDOS,15737937,100.0
TOTAL VOTOS EMITIDOS,18731364,
